iter	Passed	Remaining
305	338983	768805
306	340087	767689
307	341184	766557
308	342271	765403
309	343349	764229
310	344427	763055
311	345528	761933
312	346649	760856
313	347745	759724
314	348852	758616
315	349974	757539
316	351209	756707
317	352368	755709
318	353475	754598
319	354560	753442
320	355649	752293
321	356866	751415
322	358098	750566
323	359199	749440
324	360291	748298
325	361400	747190
326	362487	746037
327	363571	744877
328	364653	743715
329	365779	742643
330	366894	741549
331	367986	740407
332	369099	739306
333	370173	738131
334	371269	736998
335	372352	735839
336	373463	734737
337	374555	733597
338	375635	732434
339	376779	731396
340	377880	730273
341	378965	729121
342	380064	727996
343	381160	726864
344	382242	725705
345	383316	724534
346	384396	723373
347	385497	722253
348	386618	721171
349	387694	720003
350	388771	718839
351	389888	717749
352	390966	716588
353	392054	715444
354	393150	714316
355	394229	713156
356	395313	712007
357	396424	710906
358	397531	709798
359	398623	708664
360	399695	707495
361	400782	706351
362	401895	705254
363	402977	704103
364	404059	702952
365	405164	701841
366	406288	700765
367	407386	699641
368	408468	698491
369	409593	697415
370	410673	696262
371	411770	695139
372	412870	694021
373	413962	692888
374	415047	691746
375	416154	690639
376	417254	689521
377	418350	688396
378	419459	687294
379	420552	686165
380	421657	685055
381	422743	683915
382	423818	682757
383	424905	681619
384	426015	680517
385	427110	679393
386	428191	678246
387	429286	677121
388	430357	675960
389	431441	674818
390	432578	673760
391	433709	672692
392	434834	671614
393	435943	670511
394	437049	669404
395	438136	668268
396	439225	667135
397	440312	665999
398	441416	664890
399	442510	663765
400	443596	662629
401	444723	661553
402	445854	660483
403	446952	659365
404	448034	658222
405	449137	657111
406	450225	655979
407	451300	654828
408	452387	653694
409	453486	652577
410	454561	651427
411	455655	650303
412	456757	649192
413	457857	648078
414	458949	646953
415	460071	645869
416	461179	644766
417	462278	643650
418	463364	642517
419	464448	641381
420	465558	640280
421	466676	639191
422	467765	638063
423	468595	636582
424	469716	635498
425	470826	634400
426	471916	633274
427	473045	632201
428	474139	631081
429	475217	629940
430	476335	628850
431	477457	627768
432	478548	626644
433	479659	625546
434	480767	624444
435	481865	623330
436	482954	622205
437	484040	621075
438	485144	619967
439	486260	618876
440	487339	617739
441	488423	616606
442	489537	615513
443	490605	614361
444	491698	613241
445	492800	612133
446	493902	611025
447	494980	609886
448	496095	608794
449	497198	607686
450	498283	606558
451	499400	605467
452	500476	604328
453	501578	603220
454	502659	602086
455	503750	600965
456	504854	599859
457	505969	598767
458	507047	597630
459	508136	596508
460	509250	595413
461	510331	594282
462	511412	593150
463	512496	592021
